model,store,versions,sale
AppleiPhone 11,Apple产品京东自营旗舰店,"{'64GB': '5499.00', '128GB': '5999.00', '256GB': '6799.00'}",
AppleiPhone XS Max,Apple产品京东自营旗舰店,"{'64GB': '6199.00', '256GB': '7199.00', '512GB': '7699.00'}",112万+
AppleiPhone 11 Pro  Max,Apple产品京东自营旗舰店,"{'64GB': '9599.00', '256GB': '10899.00', '512GB': '12699.00'}",
华为Mate 30 Pro 5G,华为京东自营官方旗舰店,"{'8GB+128GB': '6399.00', '8GB+256GB': '6899.00', '8GB+512GB': '7899.00'}",
华为Mate 30 5G,华为京东自营官方旗舰店,"{'8GB+128GB': '4999.00', '8GB+256GB': '5499.00'}",
AppleiPhone XR,Apple产品京东自营旗舰店,"{'64GB': '4499.00', '128GB': '4999.00', '256GB': '5999.00'}",211万+
华为荣耀V20,荣耀京东自营旗舰店,"{'全网通（6GB 128GB）': '1889.00', '全网通（8GB 128GB）': '2399.00', '全网通（8GB 256GB）': '2399.00'}",81万+
华为荣耀20,荣耀京东自营旗舰店,"{'全网通（8GB 128GB）': '2089.00', '全网通（8GB 256GB）': '2489.00'}",69万+
一加7 Pro,一加手机京东自营官方旗舰店,"{'6GB 128GB': '3899.00', '8GB 256GB': '3899.00', '12GB 256GB': '3899.00'}",36万+
华为荣耀20S,荣耀京东自营旗舰店,"{'全网通（6GB 128GB）': '1499.00', '全网通（8GB 128GB）': '1989.00'}",19万+
华为荣耀9X,荣耀京东自营旗舰店,"{'全网通（4GB 64GB）': '1099.00', '全网通（6GB 64GB）': '1289.00', '全网通（6GB 128GB）': '1789.00', '全网通（8GB 128GB）': '1999.00'}",79万+
小米小米9,小米京东自营旗舰店,"{'6GB+128GB': '2299.00', '8GB+128GB': '2499.00', '': ''}",
华为nova 6 5G,华为京东自营官方旗舰店,"{'': '', '8GB+256GB': '4199.00'}",
华为荣耀V30 PRO,荣耀京东自营旗舰店,"{'全网通（8GB 128GB）': '3899.00', '全网通（8GB 256GB）': '4199.00'}",2.1万+
AppleiPhone XS,Apple产品京东自营旗舰店,"{'64GB': '5399.00', '256GB': '6499.00', '512GB': '7099.00'}",38万+
AppleiPhone 11 Pro,Apple产品京东自营旗舰店,"{'64GB': '8699.00', '256GB': '9999.00', '512GB': '11799.00'}",
Apple 苹果 iPhone 11 双卡双待手机 黑色 64GB,聚捷联盛手机旗舰店,"{'【白条24期免息】128G': '7699.00', '256GB': '6599.00', '128GB': '5699.00', '【白条24期免息】64G': '6999.00', '64GB': '5149.00', '【白条24期免息】256G': '8999.00', '【白条6期免息】64G': '5599.00', '【白条6期免息】128G': '6199.00', '【白条6期免息】256G': '7299.00', '【白条12期免息】64G': '5999.00', '【白条12期免息】128G': '6599.00', '【白条12期免息】256G': '7699.00'}",6700+
Z5x,vivo京东自营官方旗舰店,"{'4GB+64GB': '1398.00', '6GB+64GB': '1398.00', '6GB+128GB': '1398.00', '8GB+128GB': '1398.00'}",42万+
Z5,vivo京东自营官方旗舰店,"{'6GB+64GB': '1398.00', '6GB+128GB': '1498.00', '8GB+128GB': '2098.00', '6GB+256GB': '1648.00'}",21万+
一加7T,一加手机京东自营官方旗舰店,"{'8GB 256GB': '3199.00', '8GB 128GB': '2999.00'}",7.4万+
华为nova 5 Pro,华为京东自营官方旗舰店,"{'8GB+128GB': '2499.00', '': ''}",
华为Mate 30,华为京东自营官方旗舰店,"{'': '', '6GB+128GB': '3999.00'}",
AppleiPhone7 Plus,Apple产品京东自营旗舰店,{'': '3499.00'},109万+
华为P30,华为京东自营官方旗舰店,"{'6GB+128GB': '3388.00', '8GB+64GB': '3388.00', '8GB+128GB': '3688.00', '8GB+256GB': '4188.00'}",61万+
AppleiPhone 11,佳沪手机旗舰店,"{'全网通 128GB': '5668.00', '全网通 64GB': '5188.00', '全网通 256GB': '6688.00'}",3.8万+
华为荣耀Play3,荣耀京东自营旗舰店,"{'全网通（4GB 64GB）': '889.00', '全网通（6GB 64GB）': '1299.00', '全网通（4GB 128GB）': '1299.00'}",13万+
小米CC9e,小米京东自营旗舰店,"{'4GB+64GB': '1049.00', '6GB+64GB': '1049.00', '6GB+128GB': '1049.00', '4GB+128GB': '1049.00'}",24万+
小米Redmi K30,小米京东自营旗舰店,"{'6GB+128GB': '1699.00', '8GB+128GB': '1899.00', '8GB+256GB': '2199.00'}",3万+
华为荣耀10青春版,荣耀京东自营旗舰店,"{'全网通（4GB 64GB）': '899.00', '全网通（6GB 64GB）': '1099.00', '全网通（6GB 128GB）': '1689.00'}",
华为nova 5z,华为京东自营官方旗舰店,"{'6GB+64GB': '1399.00', '6GB+128GB': '1599.00'}",14万+
华为nova 4e,华为京东自营官方旗舰店,"{'4GB+128GB': '1399.00', '6GB+128GB': '1299.00'}",26万+
华为P30 Pro,华为京东自营官方旗舰店,"{'8GB+128GB': '4488.00', '8GB+256GB': '4988.00', '8GB+512GB': '5788.00'}",
华为Mate 30 Pro,华为京东自营官方旗舰店,"{'8GB+128GB': '5799.00', '8GB+256GB': '6299.00'}",
vivoiQOO Pro 5G,vivo京东自营官方旗舰店,"{'8GB+128GB': '3498.00', '8GB+256GB': '3698.00', '12GB+128GB': '3298.00'}",11万+
华为Mate 20,华为京东自营官方旗舰店,"{'6GB+64GB': '2699.00', '6GB+128GB': '3199.00'}",43万+
AppleiPhone 8 Plus,Apple产品京东自营旗舰店,"{'64GB': '4199.00', '128GB': '4999.00', '256GB': '5599.00'}",200万+
华为荣耀20i,荣耀京东自营旗舰店,"{'全网通（6GB 64GB）': '1089.00', '全网通（4GB 128GB）': '1289.00', '全网通（6GB 128GB）': '1399.00', '全网通（6GB 256GB）': '1789.00'}",71万+
OPPOReno Ace,OPPO京东自营官方旗舰店,"{'8GB+128GB': '2999.00', '8GB+256GB': '3199.00', '12GB+256GB': '3799.00'}",8.6万+
小米Redmi 8A,小米京东自营旗舰店,"{'3GB+32GB': '699.00', '4GB+64GB': '749.00'}",19万+
小米Redmi K20Pro 尊享版,小米京东自营旗舰店,"{'8GB+128GB': '2399.00', '8GB+512GB': '2799.00', '12GB+512GB': '2799.00'}",11万+
华为华为荣耀20,荣耀京东自营旗舰店,"{'全网通（8GB 128GB）': '2689.00', '全网通（8GB 256GB）': '2989.00', 'MOSCHINO联名版（8GB 256GB）': '2989.00'}",18万+
一加7T Pro,一加手机京东自营官方旗舰店,{'': '4599.00'},1.8万+
华为荣耀V30,荣耀京东自营旗舰店,"{'全网通（6GB 128GB）': '3299.00', '全网通（8GB 128GB）': '3699.00'}",1.9万+
小米Redmi Note8 Pro,小米京东自营旗舰店,"{'6GB+64GB': '1299.00', '6GB+128GB': '1399.00', '8GB+128GB': '1599.00', '8GB+256GB': '1799.00'}",32万+
华为荣耀Magic2,荣耀京东自营旗舰店,"{'全网通（6GB 128GB）': '1789.00', '全网通（8GB 128GB）': '1799.00', '全网通（8GB 256GB）': '2299.00', '3D感光全网通（8GB 512GB）': '2299.00'}",21万+
iQOO Neo 855版,vivo京东自营官方旗舰店,"{'6GB+64GB': '1998.00', '6GB+128GB': '2298.00', '8GB+128GB': '2498.00'}",8.4万+
AppleiPhone7,Apple产品京东自营旗舰店,{'': '2899.00'},106万+
华为荣耀8X Max,荣耀京东自营旗舰店,"{'全网通（4GB 64GB）': '1189.00', '全网通（6GB 64GB）': '999.00', '全网通（4GB 128GB）': '1289.00', '全网通（6GB 128GB）': '1289.00'}",38万+
小米9 Pro,小米京东自营旗舰店,"{'8GB+256GB': '3799.00', '12GB+256GB': '4099.00', '12GB+512GB': '4299.00', '8GB+128GB': '3699.00'}",
小米Redmi K20 Pro,小米京东自营旗舰店,"{'6GB+64GB': '1999.00', '6GB+128GB': '2199.00', '8GB+128GB': '2499.00', '8GB+256GB': '2399.00'}",
三星Galaxy Note10+ 5G,三星手机京东自营官方旗舰店,{'': '7999.00'},3万+
Apple iPhone 8,Apple产品京东自营旗舰店,"{'64GB': '3299.00', '128GB': '3999.00', '256GB': '4799.00'}",153万+
OPPOK5,OPPO京东自营官方旗舰店,"{'6GB+128GB': '1799.00', '8GB+128GB': '1999.00', '8GB+256GB': '2499.00'}",7.8万+
OPPOK3,OPPO京东自营官方旗舰店,"{'6GB+64GB': '1399.00', '8GB+128GB': '1799.00', '8GB+256GB': '1799.00'}",36万+
一加7,一加手机京东自营官方旗舰店,"{'8GB 256GB': '2999.00', '12GB 256GB': '3299.00'}",21万+
三星Fold,三星手机京东自营官方旗舰店,{'': '15999.00'},
华为新品,荣耀京东自营旗舰店,"{'全网通（4GB 64GB）': '1089.00', '全网通（6GB 64GB）': '1389.00', '全网通（6GB 128GB）': '1699.00', '全网通（8GB 128GB）': '1899.00'}",3.9万+
华为nova 5i Pro,华为京东自营官方旗舰店,"{'6GB+128GB': '1799.00', '8GB+128GB': '2299.00', '8GB+256GB': '2599.00'}",
一加7T Pro,一加手机京东自营官方旗舰店,{'': '5299.00'},8200+
华为畅享9 Plus,华为京东自营官方旗舰店,"{'4GB+64GB': '999.00', '4GB+128GB': '1399.00', '6GB+128GB': '1699.00'}",60万+
AppleiPhone 11 Pro,佳沪手机旗舰店,"{'全网通 256GB': '9369.00', '全网通 64GB': '8058.00', '全网通 512GB': '12099.00'}",2700+
魅族 16th Plus,魅族京东自营旗舰店,"{'16th（8GB+128GB）': '1888.00', '16th（6GB+128GB）': '1888.00', '16 Plus（6GB+128GB）': '1888.00', '16th（6GB+64GB）': '1888.00', '16 Plus（8GB+128GB）': '1888.00'}",24万+
AppleiPhone 11 Pro Max,同达丰手机旗舰店,"{'全网通 256GB': '10199.00', '全网通 64GB': '8999.00', '全网通 512GB': '13199.00'}",2400+
Apple 苹果 iPhone11 手机 双卡双待 黑色 全网通64G,鹏瑶旗舰店,"{'全网通64G': '5199.00', '全网通256G': '6549.00', '全网通128G': '5699.00', '全网通64G 白条3期免息': '5449.00'}",1500+
联想Lenovo Z6 青春版,联想手机京东自营官方旗舰店,"{'6GB+64GB': '1098.00', '6GB+128GB': '1249.00', '4GB+64GB': '999.00'}",2.1万+
OPPOA11x,OPPO京东自营官方旗舰店,{'': '1799.00'},1.2万+
华为 nova4e 手机 雀翎蓝 6G+128G 全网通,京铠玄手机旗舰店,"{'6G+128G 全网通': '1199.00', '4G+128G 全网通碎屏险套装': '1179.00', '6G+128G 全网通碎屏险套装': '1239.00', '4G+128G 全网通': '1159.00'}",1万+
三星Galaxy Note10,三星手机京东自营官方旗舰店,{'': '5999.00'},5000+
魅族 X8,魅族京东自营旗舰店,"{'4GB+64GB': '899.00', '6GB+64GB': '999.00', '6GB+128GB': '1298.00'}",13万+
AppleiPhone 11,迪信通官方旗舰店,"{'64GB': '5299.00', '256GB': '6699.00', '128GB': '5799.00'}",1000+
华为nova 4,华为京东自营官方旗舰店,"{'6GB+128GB 2000万': '1899.00', '8GB+128GB 2000万': '1899.00', '8GB+128GB 4800万': '1899.00'}",24万+
OPPOA11,OPPO京东自营官方旗舰店,"{'4GB+128GB': '1299.00', '6GB+256GB': '1599.00', '6GB+128GB': '1499.00'}",7600+
小米9pro 5G版手机 钛银黑 8G+256G 【现货速发】,疆界互联旗舰店,"{'8G+256G 【现货速发】': '3588.00', '8G+128G': '3699.00', '12G+256G': '4099.00', '12G+512G 【现货速发】': '4199.00'}",5500+
飞利浦E171L,飞利浦手机京东自营旗舰店,{'': '168.00'},31万+
AppleA1661,好机汇二手商品专营店,"{'32G 全网通': '1599.00', '128G 全网通': '1799.00'}",2.4万+
AppleiPhone XS,马上优品二手商品旗舰店,"{'全网通 64G': '3918.00', '全网通 256G': '4428.00', '全网通 512G': '4999.00'}",2900+
飞利浦E258S,,{'': '169.00'},18万+
realmeQ,realme真我京东自营旗舰店,"{'4GB+64GB': '1098.00', '6GB+64GB': '1298.00', '8GB+128GB': '1598.00'}",8.9万+
荣耀play3华为手机加送碎屏险 极光蓝 4+64G全网通,京铠玄手机旗舰店,"{'6+64G全网通': '1099.00', '4+64G全网通': '799.60', '4+128G全网通': '1299.00'}",8900+
【华为KA直供6期免息】【自营仓发】华为 Mate30 Pro 5G版手机 mate30pro 亮黑色 8+256GB全网通,臻火旗舰店,"{'8+256GB全网通': '6899.00', '8+512GB全网通': '7899.00', '8+128GB全网通': '6399.00'}",2300+
努比亚Z20,努比亚京东自营旗舰店,"{'6GB+128GB': '2799.00', '8GB+128GB': '2999.00', '8GB+512GB': '3499.00'}",1.3万+
华为（HUAWEI）华为mate30保时捷,炜东电商旗舰店,{'': '13888.00'},100+
荣耀v30 双模5G全国通 华为手机 加送碎屏险 十二期免息0首付 魅海星蓝 8+128G 全网通,京铠玄手机旗舰店,"{'6+128G 全网通': '3299.60', '8+128G 全网通': '3699.40'}",600+
【二手9成新】Apple iPhoneX 苹果x 国行手机 X 灰色 64G 全网通,发动机优品二手手机专营店,"{'64G 全网通': '3069.00', '256G 全网通': '3568.00', '64G 全网通 0首付 6期分期白条免息': '3299.00', '256G 全网通 0首付 6期分期白条免息': '3899.00', '64G 全网通 0首付 12期分期白条免息': '3499.00', '256G 全网通 0首付 12期分期白条免息': '4016.00', '64G 全网通 0首付 3期分期白条免息': '3199.99', '256G 全网通 0首付 3期分期白条免息': '3666.00', '64G 全网通 18W PD快充套装版': '3119.00', '256G 全网通 18W PD快充套装版': '3608.00', '256G 全网通 0首付 24期分期白条免息': '4466.00'}",2800+
AppleiPhone x,泰业优品二手手机旗舰店,"{'64G 全网通': '3199.00', '256G 全网通': '3606.00', '6期免息白条分期0首付 全网通64G': '3599.00', '6期免息白条分期0首付 全网通256G': '4073.00', '12期免息白条分期0首付 全网通64G': '3699.00', '12期免息白条分期0首付 全网通256G': '4299.00'}",7400+
柔宇（ROYOLE）FlexPai柔派柔性折叠屏手机,柔宇旗舰店,{'': '8999.00'},600+
