,model,store,versions,sale
5,iPhoneXR,Apple产品京东自营旗舰店,"{'64GB': '4499.00', '128GB': '4999.00', '256GB': '5999.00'}",2110.0
35,iPhone8PluS,Apple产品京东自营旗舰店,"{'64GB': '4199.00', '128GB': '4999.00', '256GB': '5599.00'}",2000.0
51,iPhone8,Apple产品京东自营旗舰店,"{'64GB': '3299.00', '128GB': '3999.00', '256GB': '4799.00'}",1530.0
1,iPhoneXS,Apple产品京东自营旗舰店,"{'64GB': '6199.00', '256GB': '7199.00', '512GB': '7699.00'}",1120.0
22,iPhone7PluS,Apple产品京东自营旗舰店,{'': '3499.00'},1090.0
46,iPhone7,Apple产品京东自营旗舰店,{'': '2899.00'},1060.0
143,小米红米6,小米京东自营旗舰店,"{'3GB+32GB': '649.00', '4GB+64GB': '799.00'}",820.0
6,荣耀V20,荣耀京东自营旗舰店,"{'全网通（6GB 128GB）': '1889.00', '全网通（8GB 128GB）': '2399.00', '全网通（8GB 256GB）': '2399.00'}",810.0
10,荣耀9X,荣耀京东自营旗舰店,"{'全网通（4GB 64GB）': '1099.00', '全网通（6GB 64GB）': '1289.00', '全网通（6GB 128GB）': '1789.00', '全网通（8GB 128GB）': '1999.00'}",790.0
36,荣耀20i,荣耀京东自营旗舰店,"{'全网通（6GB 64GB）': '1089.00', '全网通（4GB 128GB）': '1289.00', '全网通（6GB 128GB）': '1399.00', '全网通（6GB 256GB）': '1789.00'}",710.0
7,荣耀20,荣耀京东自营旗舰店,"{'全网通（8GB 128GB）': '2089.00', '全网通（8GB 256GB）': '2489.00'}",690.0
108,诺基亚105,诺基亚手机京东自营旗舰店,"{'新105单卡': '149.00', '105单卡': '149.00', '新105双卡': '149.00', '105双卡': '149.00'}",650.0
23,华为P30,华为京东自营官方旗舰店,"{'6GB+128GB': '3388.00', '8GB+64GB': '3388.00', '8GB+128GB': '3688.00', '8GB+256GB': '4188.00'}",610.0
59,华为畅享9PluS,华为京东自营官方旗舰店,"{'4GB+64GB': '999.00', '4GB+128GB': '1399.00', '6GB+128GB': '1699.00'}",600.0
534,飞利浦E106,飞利浦手机京东自营旗舰店,"{'【简约畅销款】': '89.00', 'E109': '89.00'}",500.0
34,华为Mate20,华为京东自营官方旗舰店,"{'6GB+64GB': '2699.00', '6GB+128GB': '3199.00'}",430.0
