,price,count
0,69.0,1
1,89.0,5
2,99.0,1
3,119.0,1
4,149.0,4
5,168.0,5
6,169.0,1
7,179.0,3
8,189.0,2
9,199.0,3
10,238.0,1
11,279.0,5
12,288.0,1
13,299.0,4
14,339.0,1
15,349.0,1
16,399.0,5
17,418.0,2
18,439.0,2
19,458.0,1
20,469.0,1
21,474.0,1
22,489.0,1
23,498.0,2
24,499.0,3
25,569.0,1
26,588.0,1
27,598.0,1
28,599.0,5
29,608.0,1
30,649.0,4
31,655.0,1
32,658.0,2
33,668.0,7
34,673.0,1
35,678.0,1
36,685.0,1
37,689.0,1
38,698.0,1
39,699.0,5
40,708.0,6
41,748.0,1
42,749.0,6
43,768.0,4
44,778.0,2
45,779.0,2
46,798.0,2
47,799.0,4
48,799.6,1
49,808.0,3
50,828.0,2
51,829.0,1
52,836.0,2
53,849.0,2
54,859.0,3
55,875.0,2
56,886.0,1
57,888.0,4
58,889.0,6
59,896.0,2
60,898.0,1
61,899.0,8
62,919.0,1
63,928.0,3
64,939.0,1
65,949.0,1
66,969.0,4
67,978.0,1
68,998.0,2
69,999.0,21
70,999.1,2
71,999.6,1
72,1000.0,1
73,1032.0,1
74,1035.0,2
75,1039.0,2
76,1048.0,2
77,1049.0,5
78,1056.0,1
79,1059.0,2
80,1068.0,1
81,1069.0,4
82,1070.0,2
83,1079.8,1
84,1088.0,1
85,1089.0,5
86,1097.0,1
87,1098.0,4
88,1099.0,20
89,1099.8,1
90,1116.0,1
91,1128.0,1
92,1129.0,1
93,1137.0,1
94,1139.0,1
95,1146.0,2
96,1149.0,1
97,1158.0,4
98,1159.0,5
99,1166.0,2
100,1168.0,1
101,1178.0,2
102,1179.0,1
103,1180.0,1
104,1188.0,4
105,1189.0,2
106,1198.0,7
107,1199.0,11
108,1208.0,1
109,1215.0,1
110,1218.0,1
111,1229.0,1
112,1239.0,1
113,1249.0,5
114,1289.0,5
115,1298.0,13
116,1299.0,17
117,1299.1,2
118,1299.8,1
119,1308.0,1
120,1316.0,1
121,1318.0,1
122,1329.0,1
123,1330.0,1
124,1336.0,1
125,1339.0,1
126,1348.0,1
127,1349.8,1
128,1359.0,2
129,1368.0,2
130,1369.0,1
131,1389.0,1
132,1398.0,10
133,1399.0,22
134,1399.1,2
135,1409.0,1
136,1428.0,1
137,1429.0,2
138,1438.0,1
139,1448.0,1
140,1449.0,1
141,1459.0,1
142,1488.0,1
143,1496.0,2
144,1498.0,2
145,1499.0,13
146,1499.8,1
147,1519.0,1
148,1544.0,1
149,1558.0,2
150,1559.0,1
151,1564.0,1
152,1569.0,3
153,1578.0,1
154,1590.0,1
155,1598.0,6
156,1599.0,19
157,1618.0,1
158,1629.0,1
159,1648.0,1
160,1668.0,1
161,1669.0,1
162,1679.0,1
163,1688.0,2
164,1690.0,1
165,1698.0,5
166,1699.0,23
167,1709.0,1
168,1718.0,1
169,1738.0,1
170,1750.0,1
171,1758.0,1
172,1768.0,1
173,1788.0,1
174,1789.0,4
175,1796.0,1
176,1798.0,2
177,1799.0,35
178,1799.1,2
179,1849.0,1
180,1855.0,1
181,1859.0,2
182,1860.0,1
183,1868.0,3
184,1869.0,4
185,1878.0,2
186,1888.0,7
187,1889.0,1
188,1898.0,2
189,1899.0,24
190,1918.0,1
191,1938.0,2
192,1949.0,1
193,1968.0,1
194,1988.0,2
195,1989.0,1
196,1998.0,8
197,1999.0,23
198,2058.0,2
199,2089.0,1
200,2098.0,5
201,2099.0,2
202,2099.8,1
203,2138.0,2
204,2198.0,1
205,2199.0,17
206,2209.8,1
207,2248.0,1
208,2268.0,1
209,2298.0,7
210,2299.0,7
211,2308.0,1
212,2318.0,2
213,2348.0,2
214,2349.0,1
215,2368.0,1
216,2369.0,1
217,2388.0,2
218,2389.0,1
219,2398.0,5
220,2399.0,8
221,2449.0,1
222,2458.0,2
223,2459.0,2
224,2466.0,2
225,2488.0,3
226,2489.0,1
227,2498.0,6
228,2499.0,29
229,2539.0,1
230,2548.0,3
231,2568.0,3
232,2579.0,1
233,2588.0,3
234,2589.0,1
235,2598.0,1
236,2599.0,13
237,2649.0,1
238,2659.0,3
239,2668.0,2
240,2669.0,1
241,2678.0,1
242,2689.0,1
243,2698.0,3
244,2699.0,16
245,2699.1,1
246,2701.0,1
247,2729.0,1
248,2739.0,1
249,2769.0,1
250,2788.0,1
251,2799.0,10
252,2828.0,1
253,2885.0,1
254,2888.0,1
255,2898.0,1
256,2899.0,27
257,2928.0,1
258,2938.0,1
259,2959.0,2
260,2988.0,2
261,2989.0,2
262,2998.0,2
263,2999.0,21
264,3028.0,1
265,3039.0,1
266,3049.0,5
267,3069.0,1
268,3078.0,2
269,3079.0,1
270,3088.0,1
271,3098.0,1
272,3099.0,12
273,3119.0,3
274,3149.0,2
275,3166.0,1
276,3169.0,1
277,3188.0,5
278,3199.0,16
279,3199.99,1
280,3209.0,1
281,3218.0,1
282,3279.0,3
283,3288.0,1
284,3298.0,2
285,3299.0,14
286,3299.6,1
287,3349.0,1
288,3386.0,1
289,3388.0,16
290,3391.0,1
291,3398.0,1
292,3399.0,8
293,3428.0,1
294,3429.0,1
295,3449.0,1
296,3458.0,4
297,3459.0,2
298,3498.0,1
299,3499.0,13
300,3518.0,1
301,3519.0,3
302,3537.0,1
303,3566.0,1
304,3568.0,1
305,3588.0,4
306,3598.0,1
307,3599.0,7
308,3606.0,1
309,3608.0,1
310,3618.0,2
311,3623.0,1
312,3658.0,1
313,3666.0,2
314,3668.0,2
315,3678.0,1
316,3688.0,11
317,3698.0,3
318,3699.0,21
319,3699.4,1
320,3705.0,1
321,3728.0,3
322,3749.0,2
323,3755.0,2
324,3759.0,1
325,3779.0,1
326,3788.0,2
327,3799.0,14
328,3858.0,2
329,3859.0,2
330,3866.0,1
331,3869.0,4
332,3879.0,1
333,3888.0,1
334,3899.0,14
335,3918.0,1
336,3949.0,1
337,3998.0,1
338,3999.0,21
339,4016.0,1
340,4018.0,3
341,4049.99,1
342,4059.0,1
343,4066.0,1
344,4073.0,1
345,4088.0,1
346,4098.0,2
347,4099.0,5
348,4138.0,1
349,4161.0,1
350,4166.0,1
351,4188.0,10
352,4199.0,21
353,4199.6,1
354,4269.0,4
355,4299.0,11
356,4349.0,1
357,4359.0,1
358,4399.0,3
359,4428.0,1
360,4438.0,2
361,4466.0,1
362,4468.0,1
363,4478.0,1
364,4488.0,6
365,4499.0,4
366,4566.0,2
367,4569.0,1
368,4599.0,11
369,4636.0,1
370,4688.0,2
371,4699.0,4
372,4798.0,1
373,4799.0,3
374,4888.0,1
375,4899.0,8
376,4988.0,6
377,4998.0,1
378,4999.0,18
379,4999.1,1
380,5019.0,1
381,5066.0,1
382,5069.0,1
383,5099.0,1
384,5118.0,1
385,5119.0,1
386,5128.0,1
387,5149.0,1
388,5159.0,1
389,5179.0,1
390,5185.0,1
391,5188.0,5
392,5199.0,6
393,5219.0,1
394,5249.0,1
395,5266.0,1
396,5269.0,1
397,5299.0,7
398,5354.0,1
399,5358.0,1
400,5388.0,1
401,5399.0,8
402,5449.0,1
403,5498.0,1
404,5499.0,15
405,5588.0,1
406,5599.0,3
407,5648.0,2
408,5658.0,1
409,5668.0,1
410,5685.0,1
411,5688.0,4
412,5699.0,3
413,5718.0,2
414,5759.0,1
415,5788.0,6
416,5789.0,1
417,5799.0,15
418,5828.0,1
419,5899.0,3
420,5945.0,1
421,5969.0,1
422,5988.0,1
423,5999.0,18
424,6099.0,1
425,6199.0,6
426,6258.0,1
427,6299.0,5
428,6399.0,8
429,6409.0,1
430,6428.0,1
431,6429.0,1
432,6469.0,1
433,6499.0,5
434,6509.0,1
435,6549.0,1
436,6577.0,1
437,6599.0,10
438,6618.0,3
439,6688.0,1
440,6699.0,4
441,6788.0,1
442,6799.0,4
443,6899.0,9
444,6909.0,1
445,6999.0,4
446,7099.0,3
447,7199.0,1
448,7299.0,3
449,7328.0,1
450,7399.0,1
451,7499.0,1
452,7599.0,3
453,7699.0,6
454,7899.0,9
455,7979.0,1
456,7985.0,1
457,7999.0,1
458,8058.0,1
459,8069.0,1
460,8099.0,2
461,8118.0,1
462,8129.0,1
463,8138.0,2
464,8168.0,1
465,8199.0,1
466,8278.0,1
467,8466.0,1
468,8799.0,1
469,8888.0,1
470,8948.0,1
471,8999.0,4
472,9028.0,1
473,9068.0,1
474,9099.0,4
475,9199.0,1
476,9228.0,1
477,9358.0,1
478,9369.0,1
479,9398.0,3
480,9399.0,1
481,9459.0,1
482,9468.0,1
