,model,store,sale,version,price
1,iPhoneXS_64GB,Apple产品京东自营旗舰店,112万+,64GB,6199.0
1,iPhoneXS_256GB,Apple产品京东自营旗舰店,112万+,256GB,7199.0
1,iPhoneXS_512GB,Apple产品京东自营旗舰店,112万+,512GB,7699.0
5,iPhoneXR_64GB,Apple产品京东自营旗舰店,211万+,64GB,4499.0
5,iPhoneXR_128GB,Apple产品京东自营旗舰店,211万+,128GB,4999.0
5,iPhoneXR_256GB,Apple产品京东自营旗舰店,211万+,256GB,5999.0
6,荣耀V20_6GB128GB,荣耀京东自营旗舰店,81万+,6GB128GB,1889.0
6,荣耀V20_8GB128GB,荣耀京东自营旗舰店,81万+,8GB128GB,2399.0
6,荣耀V20_8GB256GB,荣耀京东自营旗舰店,81万+,8GB256GB,2399.0
7,荣耀20_8GB128GB,荣耀京东自营旗舰店,69万+,8GB128GB,2089.0
7,荣耀20_8GB256GB,荣耀京东自营旗舰店,69万+,8GB256GB,2489.0
8,一加7Pro_6GB128GB,一加手机京东自营官方旗舰店,36万+,6GB128GB,3899.0
8,一加7Pro_8GB256GB,一加手机京东自营官方旗舰店,36万+,8GB256GB,3899.0
8,一加7Pro_12GB256GB,一加手机京东自营官方旗舰店,36万+,12GB256GB,3899.0
9,荣耀20S_6GB128GB,荣耀京东自营旗舰店,19万+,6GB128GB,1499.0
9,荣耀20S_8GB128GB,荣耀京东自营旗舰店,19万+,8GB128GB,1989.0
10,荣耀9X_4GB64GB,荣耀京东自营旗舰店,79万+,4GB64GB,1099.0
10,荣耀9X_6GB64GB,荣耀京东自营旗舰店,79万+,6GB64GB,1289.0
10,荣耀9X_6GB128GB,荣耀京东自营旗舰店,79万+,6GB128GB,1789.0
10,荣耀9X_8GB128GB,荣耀京东自营旗舰店,79万+,8GB128GB,1999.0
13,荣耀V30Pro_8GB128GB,荣耀京东自营旗舰店,2.1万+,8GB128GB,3899.0
13,荣耀V30Pro_8GB256GB,荣耀京东自营旗舰店,2.1万+,8GB256GB,4199.0
14,iPhoneXS_64GB,Apple产品京东自营旗舰店,38万+,64GB,5399.0
14,iPhoneXS_256GB,Apple产品京东自营旗舰店,38万+,256GB,6499.0
14,iPhoneXS_512GB,Apple产品京东自营旗舰店,38万+,512GB,7099.0
16,iPhone11_128G,聚捷联盛手机旗舰店,6700+,128G,7699.0
16,iPhone11_256GB,聚捷联盛手机旗舰店,6700+,256GB,6599.0
16,iPhone11_128GB,聚捷联盛手机旗舰店,6700+,128GB,5699.0
16,iPhone11_64G,聚捷联盛手机旗舰店,6700+,64G,6999.0
16,iPhone11_64GB,聚捷联盛手机旗舰店,6700+,64GB,5149.0
16,iPhone11_256G,聚捷联盛手机旗舰店,6700+,256G,8999.0
16,iPhone11_64G,聚捷联盛手机旗舰店,6700+,64G,5599.0
16,iPhone11_128G,聚捷联盛手机旗舰店,6700+,128G,6199.0
16,iPhone11_256G,聚捷联盛手机旗舰店,6700+,256G,7299.0
16,iPhone11_64G,聚捷联盛手机旗舰店,6700+,64G,5999.0
16,iPhone11_128G,聚捷联盛手机旗舰店,6700+,128G,6599.0
16,iPhone11_256G,聚捷联盛手机旗舰店,6700+,256G,7699.0
17,Z5x_4GB64GB,vivo京东自营官方旗舰店,42万+,4GB64GB,1398.0
17,Z5x_6GB64GB,vivo京东自营官方旗舰店,42万+,6GB64GB,1398.0
17,Z5x_6GB128GB,vivo京东自营官方旗舰店,42万+,6GB128GB,1398.0
17,Z5x_8GB128GB,vivo京东自营官方旗舰店,42万+,8GB128GB,1398.0
18,Z5_6GB64GB,vivo京东自营官方旗舰店,21万+,6GB64GB,1398.0
18,Z5_6GB128GB,vivo京东自营官方旗舰店,21万+,6GB128GB,1498.0
18,Z5_8GB128GB,vivo京东自营官方旗舰店,21万+,8GB128GB,2098.0
18,Z5_6GB256GB,vivo京东自营官方旗舰店,21万+,6GB256GB,1648.0
19,一加7T_8GB256GB,一加手机京东自营官方旗舰店,7.4万+,8GB256GB,3199.0
19,一加7T_8GB128GB,一加手机京东自营官方旗舰店,7.4万+,8GB128GB,2999.0
