model,store,versions,sale
纽曼 M560,创于佳讯数码专营店,{'256MB': '95.00'},3.0万+
honor/荣耀 荣耀9x,荣耀官方旗舰店,"{'4+64GB': '1199.00', '6+64GB': '1299.00', '6+128GB': '1899.00', '8+128GB': '2099.00'}",2.0万+
Neken/尼凯恩 EN3,尼凯恩旗舰店,{'32MB': '95.00'},2.0万+
,信时空旗舰店,{},1.5万+
HUAWEI HUAWEI Mate 30 Pro 5G,华为官方旗舰店,"{'8+128GB': '6399.00', '8+256GB': '6899.00', '8+512GB': '7899.00'}",1.5万+
Xiaomi/小米 Redmi K30,小米官方旗舰店,"{'6+128GB': '1699.00', '8+128GB': '1899.00', '8+256GB': '2199.00'}",1.5万+
vivo Z5X,vivo官方旗舰店,"{'6+64GB': '1298.00', '6+128GB': '1398.00'}",1.0万+
Xiaomi/小米 Redmi Note 8,小米官方旗舰店,"{'4+64GB': '999.00', '6+64GB': '1099.00', '6+128GB': '1299.00'}",1.0万+
Xiaomi/小米 Redmi 8A,小米官方旗舰店,"{'3+32GB': '699.00', '4+64GB': '699.00'}",1.0万+
HUAWEI HUAWEI Mate 30 5G,华为官方旗舰店,"{'8+128GB': '4999.00', '8+256GB': '5499.00'}",1.0万+
,信时空旗舰店,{},1.0万+
HUAWEI 华为畅享10 plus,华为官方旗舰店,"{'4+128GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",1.0万+
,信时空旗舰店,{},1.0万+
vivo Z5,vivo官方旗舰店,"{'6+128GB': '1598.00', '8+128GB': '2098.00'}",1.0万+
,信时空旗舰店,{},1.0万+
Xiaomi/小米 Redmi Note8 Pro,小米官方旗舰店,"{'6+64GB': '1199.00', '6+128GB': '1399.00', '8+128GB': '1599.00', '8+256GB': '1799.00'}",1.0万+
Apple/苹果 iPhone 11,苏宁易购官方旗舰店,"{'64GB': '5499.00', '128GB': '5999.00'}",1.0万+
honor/荣耀 荣耀8X,荣耀官方旗舰店,"{'6+64GB': '1099.00', '6+128GB': '1549.00'}",1.0万+
HUAWEI nova 5 Pro,华为官方旗舰店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",9500+
K-Touch/天语 R7,天语强宇专卖店,{'256MB': '95.00'},9000+
Xiaomi/小米 Redmi K20 Pro 尊享版,小米官方旗舰店,{'12+512GB': '2799.00'},8500+
HUAWEI nova 5z,华为官方旗舰店,{'6+128GB': '1799.00'},8500+
vivo U3x,vivo官方旗舰店,"{'3+64GB': '899.00', '4+64GB': '999.00', '3+32GB': '799.00'}",8500+
VOVG X27 ,VOVG正品手机店,"{'16GB': '358.00', '32GB': '388.00', '64GB': '438.00'}",8500+
OPPO K5,OPPO官方旗舰店,"{'6+128GB': '1799.00', '8+128GB': '1999.00'}",8500+
HUAWEI HUAWEI P30,华为官方旗舰店,"{'8+128GB': '3688.00', '8+256GB': '4188.00', '6+128GB': '3388.00'}",8000+
honor/荣耀 荣耀20,荣耀官方旗舰店,"{'8+128GB': '2399.00', '8+256GB': '2699.00'}",8000+
honor/荣耀 荣耀V20,荣耀官方旗舰店,{'8+128GB': '2399.00'},8000+
关爱心 G1,关爱心旗舰店,{'256MB': '95.00'},8000+
HUAWEI 华为畅享 9e,华为官方旗舰店,"{'3+32GB': '699.00', '3+64GB': '899.00'}",8000+
Apple/苹果 iPhone 7 Plus ,喜洋洋工作室,"{'32GB': '1900.00', '128GB': '1950.00', '256GB': '2160.00'}",8000+
纽曼 l6+,纽曼深圳专卖店,{'64MB': '85.00'},7500+
Apple/苹果 Apple iPhone 11,洋桃旗舰店,"{'128GB': '5999.00', '64GB': '5499.00'}",7500+
VJVJ X21S ,华信通数码商城,"{'16GB': '368.00', '32GB': '458.00', '64GB': '518.00'}",7000+
Apple/苹果 iPhone 7 Plus ,梧桐数码通讯,"{'32GB': '2230.00', '128GB': '2430.00', '256GB': '2570.00'}",7000+
honor/荣耀 荣耀V30,荣耀官方旗舰店,"{'6+128GB': '3299.00', '8+128GB': '3699.00'}",6500+
HUAWEI HUAWEI Mate 30,华为官方旗舰店,"{'6+128GB': '3999.00', '8+128GB': '4299.00'}",6500+
,信时空旗舰店,{},6000+
YEPEN/誉品 Y550,誉品旗舰店,{'256MB': '79.00'},6000+
纽曼 L8S,深圳易乐购数码专营店,{'256MB': '95.00'},6000+
honor/荣耀 荣耀magic 2,荣耀官方旗舰店,{'8+128GB': '1799.00'},5500+
皓轩（手机） H5,皓轩手机旗舰店,{'64MB': '49.00'},5500+
Xiaomi/小米 小米CC 9E,小米官方旗舰店,"{'4+128GB': '1099.00', '6+128GB': '1299.00'}",5500+
Apple/苹果 iPhone 8 ,喜洋洋工作室,"{'64GB': '2400.00', '256GB': '2900.00'}",5000+
OPPO K3,OPPO官方旗舰店,{'6+64GB': '1399.00'},5000+
honor/荣耀 荣耀V30 PRO,荣耀官方旗舰店,{'8+256GB': '4199.00'},5000+
Botel/宝泰尔 ,旅游数码欢乐坊,"{'32GB': '960.00', '64GB': '1020.00', '128GB': '1120.00'}",5000+
vivo iQOO Neo 855,vivo官方旗舰店,"{'6+128GB': '2198.00', '8+128GB': '2498.00', '6+64GB': '1998.00'}",5000+
honor/荣耀 荣耀20i,荣耀官方旗舰店,"{'6+64GB': '1199.00', '6+128GB': '1399.00'}",5000+
Apple/苹果 iPhone 7 Plus ,时尚苹果 十二年电商,"{'32GB': '1580.00', '128GB': '1650.00', '256GB': '1830.00'}",5000+
Apple/苹果 iPhone 7 ,,"{'32GB': '1800.00', '128GB': '2000.00', '256GB': '2180.00'}",4857
Changhong/长虹 L9,慕尚年华数码专营店,{'512MB': '129.00'},4748
honor/荣耀 荣耀20青春版,荣耀官方旗舰店,"{'4+64GB': '1099.00', '6+64GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",4712
创星（手机） S1,炜广天成数码专营店,{'256MB': '95.00'},4580
vivo iQOO Pro 5G,vivo官方旗舰店,"{'8GB+128GB': '3298.00', '12GB+128GB': '3798.00'}",4563
Apple/苹果 iPhone XR,苏宁易购官方旗舰店,{'128GB': '5088.00'},4488
OPPO Reno Ace,OPPO官方旗舰店,"{'8+128GB': '2999.00', '8+256GB': '3199.00'}",4475
ivvi ,五洲科技,"{'32GB': '548.00', '64GB': '588.00', '128GB': '688.00'}",4364
纽曼 F9,慕尚年华数码专营店,{'512MB': '168.00'},4330
HUAWEI HUAWEI P30 PRO,华为官方旗舰店,"{'8+128GB': '4488.00', '8+256GB': '4988.00', '8+512GB': '5788.00'}",4219
Apple/苹果 iPhone 8 Plus ,唯心数码汇,"{'64GB': '2250.00', '256GB': '2490.00'}",4216
Apple/苹果 iPhone 7 Plus ,Mob Digital,"{'32GB': '2110.00', '128GB': '2280.00', '256GB': '2400.00'}",4069
纽曼 W560,深圳易乐购数码专营店,{'256MB': '95.00'},3993
honor/荣耀 荣耀9x,苏宁易购官方旗舰店,"{'6+64GB': '1299.00', '6+128GB': '1799.00', '4+64GB': '1199.00'}",3941
HUAWEI 畅享9,华为官方旗舰店,{'4+64GB': '999.00'},3931
honor/荣耀 荣耀畅玩8A,荣耀官方旗舰店,"{'3+32GB': '599.00', '3+64GB': '999.00'}",3879
Apple/苹果 iPhone X ,,"{'64GB': '3550.00', '256GB': '3950.00'}",3852
Nokia/诺基亚 105 新 SS,苏宁易购官方旗舰店,{'4MB': '139.00'},3778
守护宝 L105,嘉宇金成数码专营店,{'无': '95.00'},3772
HUAWEI SPN-AL00,华为官方旗舰店,"{'8+128GB': '2099.00', '8+256GB': '2399.00'}",3756
