,model,store,sale,version,price
0,纽曼M560_256MB,创于佳讯数码专营店,3.0万+,256MB,95.0
1,荣耀9x_4GB64GB,荣耀官方旗舰店,2.0万+,4GB64GB,1199.0
1,荣耀9x_6GB64GB,荣耀官方旗舰店,2.0万+,6GB64GB,1299.0
1,荣耀9x_6GB128GB,荣耀官方旗舰店,2.0万+,6GB128GB,1899.0
1,荣耀9x_8GB128GB,荣耀官方旗舰店,2.0万+,8GB128GB,2099.0
2,尼凯恩EN3_32MB,尼凯恩旗舰店,2.0万+,32MB,95.0
4,华为Mate30Pro5G_8GB128GB,华为官方旗舰店,1.5万+,8GB128GB,6399.0
4,华为Mate30Pro5G_8GB256GB,华为官方旗舰店,1.5万+,8GB256GB,6899.0
4,华为Mate30Pro5G_8GB512GB,华为官方旗舰店,1.5万+,8GB512GB,7899.0
5,红米K30_6GB128GB,小米官方旗舰店,1.5万+,6GB128GB,1699.0
5,红米K30_8GB128GB,小米官方旗舰店,1.5万+,8GB128GB,1899.0
5,红米K30_8GB256GB,小米官方旗舰店,1.5万+,8GB256GB,2199.0
6,vivoZ5X_6GB64GB,vivo官方旗舰店,1.0万+,6GB64GB,1298.0
6,vivoZ5X_6GB128GB,vivo官方旗舰店,1.0万+,6GB128GB,1398.0
7,红米Note8_4GB64GB,小米官方旗舰店,1.0万+,4GB64GB,999.0
7,红米Note8_6GB64GB,小米官方旗舰店,1.0万+,6GB64GB,1099.0
7,红米Note8_6GB128GB,小米官方旗舰店,1.0万+,6GB128GB,1299.0
8,红米8A_3GB32GB,小米官方旗舰店,1.0万+,3GB32GB,699.0
8,红米8A_4GB64GB,小米官方旗舰店,1.0万+,4GB64GB,699.0
9,华为Mate305G_8GB128GB,华为官方旗舰店,1.0万+,8GB128GB,4999.0
9,华为Mate305G_8GB256GB,华为官方旗舰店,1.0万+,8GB256GB,5499.0
11,华为畅享10plus_4GB128GB,华为官方旗舰店,1.0万+,4GB128GB,1399.0
11,华为畅享10plus_6GB128GB,华为官方旗舰店,1.0万+,6GB128GB,1699.0
11,华为畅享10plus_8GB128GB,华为官方旗舰店,1.0万+,8GB128GB,1899.0
13,vivoZ5_6GB128GB,vivo官方旗舰店,1.0万+,6GB128GB,1598.0
13,vivoZ5_8GB128GB,vivo官方旗舰店,1.0万+,8GB128GB,2098.0
15,红米Note8Pro_6GB64GB,小米官方旗舰店,1.0万+,6GB64GB,1199.0
15,红米Note8Pro_6GB128GB,小米官方旗舰店,1.0万+,6GB128GB,1399.0
15,红米Note8Pro_8GB128GB,小米官方旗舰店,1.0万+,8GB128GB,1599.0
15,红米Note8Pro_8GB256GB,小米官方旗舰店,1.0万+,8GB256GB,1799.0
16,iPhone11_64GB,苏宁易购官方旗舰店,1.0万+,64GB,5499.0
16,iPhone11_128GB,苏宁易购官方旗舰店,1.0万+,128GB,5999.0
17,荣耀8X_6GB64GB,荣耀官方旗舰店,1.0万+,6GB64GB,1099.0
17,荣耀8X_6GB128GB,荣耀官方旗舰店,1.0万+,6GB128GB,1549.0
18,华为nova5Pro_8GB128GB,华为官方旗舰店,9500+,8GB128GB,2499.0
18,华为nova5Pro_8GB256GB,华为官方旗舰店,9500+,8GB256GB,2899.0
19,天语R7_256MB,天语强宇专卖店,9000+,256MB,95.0
